"lundi00h" "lundi01h" "lundi02h" "lundi03h" "lundi04h" "lundi05h" "lundi06h" "lundi07h" "lundi08h" "lundi09h" "lundi10h" "lundi11h" "lundi12h" "lundi13h" "lundi14h" "lundi15h" "lundi16h" "lundi17h" "lundi18h" "lundi19h" "lundi20h" "lundi21h" "lundi22h" "lundi23h" "mardi00h" "mardi01h" "mardi02h" "mardi03h" "mardi04h" "mardi05h" "mardi06h" "mardi07h" "mardi08h" "mardi09h" "mardi10h" "mardi11h" "mardi12h" "mardi13h" "mardi14h" "mardi15h" "mardi16h" "mardi17h" "mardi18h" "mardi19h" "mardi20h" "mardi21h" "mardi22h" "mardi23h" "mercredi00h" "mercredi01h" "mercredi02h" "mercredi03h" "mercredi04h" "mercredi05h" "mercredi06h" "mercredi07h" "mercredi08h" "mercredi09h" "mercredi10h" "mercredi11h" "mercredi12h" "mercredi13h" "mercredi14h" "mercredi15h" "mercredi16h" "mercredi17h" "mercredi18h" "mercredi19h" "mercredi20h" "mercredi21h" "mercredi22h" "mercredi23h" "jeudi00h" "jeudi01h" "jeudi02h" "jeudi03h" "jeudi04h" "jeudi05h" "jeudi06h" "jeudi07h" "jeudi08h" "jeudi09h" "jeudi10h" "jeudi11h" "jeudi12h" "jeudi13h" "jeudi14h" "jeudi15h" "jeudi16h" "jeudi17h" "jeudi18h" "jeudi19h" "jeudi20h" "jeudi21h" "jeudi22h" "jeudi23h" "vendredi00h" "vendredi01h" "vendredi02h" "vendredi03h" "vendredi04h" "vendredi05h" "vendredi06h" "vendredi07h" "vendredi08h" "vendredi09h" "vendredi10h" "vendredi11h" "vendredi12h" "vendredi13h" "vendredi14h" "vendredi15h" "vendredi16h" "vendredi17h" "vendredi18h" "vendredi19h" "vendredi20h" "vendredi21h" "vendredi22h" "vendredi23h" "noms" "longitude" "latitude"
"20026" 0 21 20 20 20 19 19 19 6 0 0 0 0 2 1 2 3 1 0 0 0 0 2 0 0 28 29 28 29 28 29 29 18 6 1 1 0 0 0 2 2 1 0 0 0 0 2 0 1 19 22 25 26 26 26 25 17 2 1 2 1 1 1 0 1 0 0 0 1 0 1 1 1 18 18 18 20 29 30 28 9 0 4 1 0 1 0 0 0 1 0 1 0 1 0 0 0 20 25 25 25 25 27 27 10 0 0 0 0 0 0 1 1 0 0 1 0 2 0 0 " PELLEPORT" 2.40097662354654 48.8679251540267
"12127" 30 31 31 31 31 31 31 31 34 35 35 36 34 33 35 35 36 28 29 27 21 19 20 20 20 21 21 21 21 21 21 21 22 26 28 32 34 32 29 31 32 30 35 33 35 36 36 34 22 14 14 14 14 14 14 13 13 16 19 21 22 24 21 23 24 24 25 26 26 23 21 19 18 19 18 18 18 18 18 18 18 19 26 28 30 30 32 32 31 31 27 22 22 21 22 22 21 21 22 22 22 22 22 23 23 23 27 29 25 24 26 24 24 22 21 23 23 24 25 25 " TREMBLAY - INSEP" 2.45482 48.83397
"1014" 10 10 1 1 2 4 4 6 4 16 25 25 17 15 23 25 25 25 15 9 0 0 5 2 0 0 0 0 0 1 1 2 1 6 23 25 22 20 25 20 25 25 22 18 16 6 4 1 1 0 0 0 0 0 0 0 0 10 25 24 25 25 25 23 25 25 22 8 9 8 0 1 0 0 0 0 0 1 1 2 3 16 25 23 24 24 25 21 21 20 13 1 1 1 3 2 1 1 4 1 1 1 1 3 6 10 22 25 25 25 25 17 22 24 13 8 3 2 2 5 " RIVOLI MUSEE DU LOUVRE" 2.33405760804708 48.8636722553657
"18108" 6 5 5 5 5 5 4 5 6 14 6 5 3 1 7 7 6 2 0 0 4 5 4 4 3 3 3 3 3 3 2 3 4 8 8 9 4 4 7 6 5 6 5 0 2 0 0 0 0 0 0 20 20 20 20 21 21 21 21 20 19 18 18 18 17 15 10 7 5 2 3 5 6 5 5 17 17 17 17 18 20 21 21 20 19 15 15 14 13 12 8 4 3 5 5 4 2 1 1 1 16 16 16 17 19 18 19 17 15 13 14 11 9 5 5 1 3 2 1 1 " EVANGILE" 2.36869413984016 48.8950903297663
"18112" 2 3 4 4 4 4 4 4 22 24 9 10 10 4 13 13 7 2 0 1 1 2 2 3 3 3 3 3 4 4 3 2 2 7 6 4 5 0 22 21 20 17 13 3 3 2 2 5 7 8 7 8 8 8 8 15 14 16 7 2 0 0 0 3 4 2 0 1 0 2 0 1 2 2 3 5 5 6 4 4 4 8 8 3 2 1 4 6 6 1 1 0 0 1 2 3 1 4 4 4 4 4 3 3 2 21 15 16 12 8 9 9 6 1 5 2 1 1 0 0 " HÔPITAL BICHAT" 2.33365337616283 48.8980143432137
"17045" 1 2 2 1 1 2 2 3 2 0 0 4 7 6 4 4 4 10 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 3 7 10 8 10 6 0 3 0 1 5 1 4 4 2 1 1 3 1 0 0 1 1 1 1 0 3 6 11 6 7 7 1 0 1 2 2 1 0 5 3 4 3 3 3 2 1 3 2 2 0 13 11 1 2 1 5 0 1 2 1 1 4 0 4 2 2 3 4 4 5 7 1 15 16 11 13 8 7 4 14 5 1 2 1 6 1 " PLACE DES TERNES - 5" 2.29783106471363 48.8784103864828
"3010" 8 7 6 7 6 5 4 6 5 7 14 9 11 18 14 17 18 17 17 18 18 18 12 12 11 8 8 8 8 7 6 5 2 13 12 14 15 18 18 15 18 18 18 18 13 18 17 18 17 15 15 16 16 6 6 7 4 4 8 15 18 15 13 18 18 15 18 18 16 15 13 5 7 3 4 4 4 4 4 2 0 5 11 16 13 16 18 18 18 18 18 18 17 16 13 12 8 4 1 0 0 0 0 0 0 1 9 7 6 13 18 15 18 18 18 17 18 18 18 18 " BEAUBOURG" 2.35423678141965 48.8624649804039
"31705" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 1 2 1 1 0 2 3 2 0 0 0 1 1 1 1 1 1 1 2 2 3 3 3 3 4 2 1 1 1 2 1 2 1 4 1 1 3 1 1 1 1 1 1 1 1 2 3 3 1 1 1 3 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 0 1 8 5 4 3 6 6 4 9 3 1 3 2 2 2 " CHAMPEAUX (BAGNOLET)" 2.4161707244259 48.8645278209514
"20011" 12 15 13 13 13 13 10 7 2 0 0 0 0 0 1 0 2 0 2 3 3 6 9 10 12 16 15 14 13 13 10 6 2 0 19 15 12 11 5 3 2 1 2 5 6 6 7 10 10 14 17 18 17 17 13 11 5 7 2 2 1 1 1 2 1 1 4 1 4 6 10 11 9 12 15 15 15 15 12 9 8 3 2 3 1 0 0 0 0 0 0 2 4 7 7 9 11 14 14 19 18 20 18 13 8 0 0 0 0 0 1 0 0 1 6 8 5 8 8 4 " PYRÉNÉES-DAGORNO" 2.40516852063917 48.8555013539889
"4020" 2 1 0 0 0 0 0 0 5 2 0 6 12 28 28 26 27 27 27 27 28 22 0 2 2 1 2 3 2 2 3 3 6 7 9 5 4 16 19 12 13 28 28 28 26 19 9 4 2 3 1 4 3 3 3 6 7 5 4 7 17 28 27 28 28 28 26 27 25 22 16 5 1 1 2 1 1 3 2 2 1 2 2 18 24 26 26 27 28 27 28 27 28 20 1 1 0 0 1 0 0 0 0 0 0 5 1 14 22 27 28 26 27 28 27 25 28 26 24 26 " BEAUBOURG PLACE MICHELET" 2.3501483359202 48.8600883261048
"42504" 11 12 17 17 16 16 16 16 14 13 6 7 6 5 3 2 4 2 5 6 7 8 8 8 14 14 15 15 16 16 16 16 15 12 4 4 4 2 2 2 4 6 3 3 1 1 2 1 2 3 4 4 5 5 5 4 0 0 0 0 0 1 2 0 2 3 3 1 3 8 7 8 12 14 14 14 14 14 14 14 9 3 0 0 0 0 1 0 0 0 6 8 3 2 4 3 6 12 12 15 15 15 15 15 10 6 4 3 3 0 0 1 1 4 1 3 1 1 2 4 " MALON (GENTILLY)" 2.34107065417259 48.8144401796238
"3001" 42 44 46 45 45 45 45 46 44 35 29 32 23 25 23 30 30 28 29 38 39 44 49 52 52 32 32 31 31 31 31 29 23 22 13 21 20 18 15 23 16 14 21 14 28 37 41 43 43 46 38 27 30 30 30 30 28 22 16 18 12 11 9 17 12 20 16 23 21 23 31 38 50 49 52 36 38 39 39 38 35 25 29 25 21 32 25 30 22 24 21 26 9 14 25 28 37 35 37 39 40 39 39 38 38 26 22 15 18 15 21 23 18 16 18 21 20 33 37 39 " CHEMIN VERT BEAUMARCHAIS" 2.36783265929612 48.8580440569424
"4002" 11 11 9 10 10 10 11 12 15 21 24 21 24 22 22 24 20 19 10 10 3 2 0 0 0 1 3 3 3 3 3 3 7 24 24 24 19 23 24 24 24 20 5 0 2 2 3 4 0 0 0 0 0 0 0 2 5 18 24 24 22 16 24 24 24 18 9 2 3 8 6 1 1 1 1 0 0 0 0 0 5 11 19 19 12 11 22 21 22 23 17 17 19 22 21 19 11 3 3 2 2 2 2 2 5 22 24 24 21 16 19 15 9 0 2 4 3 5 6 0 " MARCHE AUX FLEURS" 2.34735644764263 48.8552533608443
"8033" 3 3 2 2 2 2 2 2 5 16 27 27 27 27 27 23 20 21 14 4 3 4 3 3 4 3 3 3 3 4 4 3 5 17 27 27 27 27 27 25 27 21 15 2 2 2 2 2 1 1 1 2 1 2 2 2 1 16 26 27 24 27 27 23 24 19 14 3 1 2 2 4 1 4 7 5 3 2 2 2 5 17 27 25 27 22 25 27 24 18 15 4 3 3 4 3 5 5 5 4 4 4 4 4 5 26 26 27 27 27 26 27 24 19 13 3 2 2 2 2 " SAINT PHILIPPE DU ROULE" 2.30972258893223 48.8727876808465
"17023" 8 10 8 9 10 10 8 8 8 2 1 4 7 6 6 10 12 13 16 24 23 36 34 20 21 24 26 25 25 25 25 26 25 7 10 9 9 4 8 12 11 15 16 9 7 16 17 18 16 20 21 22 22 23 23 20 24 8 5 6 6 6 10 12 14 8 3 4 12 21 13 15 17 22 24 29 29 29 28 30 25 6 10 10 11 5 6 4 5 7 3 3 9 18 18 20 25 26 27 28 30 31 30 29 26 13 8 3 5 8 12 9 15 12 4 7 7 13 11 16 " AVENUE DE LA PORTE D'ASNIÈRES" 2.30345740868527 48.8905862155503
"17026" 20 26 26 24 24 24 24 24 26 17 16 15 11 14 18 16 17 11 12 12 2 3 9 7 7 5 7 6 4 2 2 4 7 2 4 5 6 3 4 4 6 1 4 1 2 2 4 1 7 6 4 6 5 4 4 6 7 4 5 3 4 6 4 4 1 2 1 2 8 0 4 8 6 3 4 3 3 3 3 5 2 4 6 4 5 6 3 9 9 8 6 5 5 2 4 1 7 3 2 2 2 2 2 6 2 2 9 8 9 10 3 6 4 5 7 3 2 5 14 14 " WAGRAM COURCELLES" 2.30113837817673 48.8818571507446
"20131" 2 3 3 3 3 3 3 2 1 1 2 0 0 0 0 0 3 0 1 0 7 6 8 9 26 26 28 30 30 30 30 31 28 25 25 22 14 9 8 2 1 1 19 12 8 4 3 13 33 33 33 33 33 33 33 32 29 26 25 22 22 7 0 0 0 0 0 0 20 20 21 21 32 33 33 33 33 33 33 32 30 27 25 22 23 19 13 7 6 2 1 0 0 2 2 13 19 21 21 24 24 26 26 27 26 21 14 5 2 1 1 1 3 1 1 1 2 1 3 3 " REPOS" 2.38961313668446 48.8593585235926
"6007" 1 1 0 0 0 0 0 0 1 1 2 0 3 2 0 1 2 0 7 3 9 17 11 1 1 1 1 2 2 3 3 3 2 2 1 5 4 1 3 7 5 4 3 3 0 0 2 1 0 0 1 2 1 1 1 0 9 5 3 5 8 17 18 17 8 3 6 2 0 2 3 0 0 0 4 2 2 2 0 1 4 0 4 4 1 3 7 3 7 4 0 5 4 4 5 2 4 2 1 2 2 1 1 0 7 1 5 8 10 3 9 8 2 7 3 5 5 14 15 12 " VAVIN" 2.3297942217634 48.8427384782578
"3012" 18 19 18 18 20 20 20 20 19 18 14 20 15 11 10 7 11 8 2 8 4 7 5 8 12 15 12 12 13 13 13 12 10 6 24 21 23 24 23 23 24 20 21 13 12 13 4 11 20 24 23 23 24 24 24 24 22 18 22 23 21 22 21 22 22 20 21 16 9 16 18 15 14 12 15 13 12 12 12 12 10 7 21 22 18 7 9 5 8 11 14 11 9 21 21 21 24 23 22 20 20 20 19 19 17 21 14 13 5 12 6 10 3 1 7 10 10 4 8 23 " GAITE LYRIQUE" 2.35366081624923 48.8674979894066
"18044" 0 0 3 10 10 31 28 31 26 2 2 26 0 0 0 1 1 0 4 3 5 1 6 0 2 1 0 0 0 13 11 12 2 0 18 6 14 1 0 3 0 0 0 3 5 1 1 3 0 1 0 0 3 2 0 0 0 0 1 26 1 0 1 1 0 0 0 1 10 1 3 1 0 0 1 1 0 1 0 0 0 1 0 24 15 1 5 0 15 2 3 1 5 5 1 1 3 3 1 2 1 1 3 5 2 1 0 10 8 2 18 9 0 0 2 1 4 23 16 11 " CLICHY" 2.32880709819223 48.8841271080466
"8113" 3 1 1 1 1 2 2 2 2 10 19 20 21 11 13 18 14 14 6 7 1 4 3 3 5 3 3 3 3 4 4 4 3 11 20 20 19 17 22 17 17 15 21 6 2 2 3 3 8 3 3 4 10 12 13 13 15 22 19 21 19 15 13 16 21 21 11 2 2 3 3 2 1 3 3 2 2 3 3 3 4 17 21 21 19 22 9 8 12 12 10 2 1 1 2 2 1 1 2 3 1 2 3 3 2 20 22 22 22 19 16 20 21 22 15 1 1 2 2 2 " PLACE ST AUGUSTIN" 2.31939514437732 48.874923109802
"14103" 0 0 2 2 2 2 2 1 1 1 1 1 1 0 0 0 1 12 8 6 4 3 3 5 4 4 4 2 2 2 2 4 3 15 0 3 1 0 4 2 1 0 0 3 0 0 1 0 1 0 2 2 2 2 2 1 21 3 2 1 1 11 10 3 12 10 7 0 2 3 5 1 1 1 2 3 3 3 3 3 2 0 0 10 6 6 3 2 0 1 0 1 0 1 0 0 2 1 1 0 0 0 0 0 0 0 1 1 1 2 8 0 1 2 3 2 5 1 4 5 " MAINE LIANCOURT" 2.32373144997399 48.835064363954
"16105" 13 13 13 13 13 13 13 14 14 15 12 14 14 14 14 12 11 10 8 5 2 2 3 2 2 3 1 1 1 2 2 3 4 1 3 4 4 1 1 3 7 2 1 1 1 1 2 3 4 4 4 4 2 2 2 3 1 1 0 0 0 1 0 1 1 0 0 3 1 1 1 2 2 1 1 1 1 2 2 2 2 1 4 1 1 2 3 2 3 3 3 4 2 5 4 3 1 1 1 1 1 1 1 1 1 1 1 2 3 2 3 2 0 1 0 2 0 1 1 0 " CREVAUX" 2.28114900769185 48.8708094286695
"15020" 25 26 25 25 26 26 26 27 23 1 4 3 2 8 7 9 8 4 8 15 32 28 26 28 32 31 31 31 31 31 31 32 29 15 5 7 7 9 10 5 2 2 8 17 27 32 32 32 28 29 29 30 30 30 30 32 27 9 2 3 0 1 7 3 2 7 7 21 23 27 32 28 32 31 29 28 30 30 30 31 26 3 2 5 9 8 2 4 4 5 0 7 25 30 32 32 32 32 32 32 32 32 32 31 27 12 9 7 3 0 1 3 0 1 7 15 21 28 32 31 " MAIRIE DU 15EME" 2.29854929401185 48.8417096401611
"15106" 67 65 66 67 64 53 54 52 51 41 32 40 43 38 42 37 33 36 46 58 49 65 65 66 65 44 46 51 52 45 45 45 40 32 37 40 42 43 39 43 44 40 53 60 50 66 66 66 66 66 66 49 50 51 50 50 46 35 42 41 38 39 43 47 46 43 47 53 63 66 61 66 67 51 49 50 50 50 50 52 47 37 37 38 33 39 39 41 40 39 40 64 66 66 64 66 66 66 43 44 46 47 48 46 47 45 47 48 42 50 46 44 41 48 54 66 66 65 63 64 " GRENELLE VIOLET (PROP3)" 2.29466057588438 48.8499211018621
"35010" 4 2 2 2 2 2 2 1 1 2 1 3 0 2 0 1 0 0 3 2 2 3 1 0 0 0 0 0 0 0 0 1 0 1 2 1 1 1 1 0 3 1 0 3 7 9 12 9 5 5 6 6 6 6 5 5 4 11 9 9 4 0 0 4 5 3 1 1 1 0 3 1 0 0 1 0 1 1 1 0 3 7 15 12 12 11 6 8 8 4 0 3 9 6 8 4 7 7 7 7 7 7 8 7 6 12 18 17 13 17 17 16 20 22 17 14 18 14 14 13 " GERVAIS (PANTIN)" 2.40277551968633 48.8910789762746
"15044" 15 16 18 18 19 19 19 18 16 5 1 1 0 0 1 0 1 0 0 21 13 9 7 6 4 4 5 4 5 5 5 4 4 0 1 2 2 0 3 2 0 15 10 5 20 18 17 14 13 12 13 14 14 14 14 13 12 2 2 0 3 3 1 0 2 1 9 15 15 13 18 13 17 16 14 15 15 15 16 16 14 3 12 11 6 2 6 1 2 3 1 1 2 2 1 1 1 3 2 3 3 3 3 2 0 11 4 3 1 3 2 2 2 0 1 0 1 4 0 0 " J DUPRE" 2.29600807608667 48.8302693902879
"21210" 9 10 10 10 10 10 10 9 5 0 2 1 0 0 2 3 0 2 0 0 2 10 12 13 18 18 17 17 17 17 17 16 10 1 0 1 1 1 2 6 6 7 1 1 3 5 3 3 7 10 13 13 13 13 12 10 6 3 6 0 0 0 1 0 1 5 2 0 2 1 5 2 5 5 4 5 5 5 5 5 1 4 1 1 1 3 0 3 0 1 1 1 0 2 2 2 0 1 3 1 4 4 4 2 1 4 4 2 0 3 2 2 4 0 1 0 0 1 0 0 " PERI 2 (MONTROUGE)" 2.32403127829722 48.8178170939014
"15035" 28 32 34 32 33 33 33 33 32 28 23 18 17 19 15 7 12 16 16 16 35 42 42 42 42 42 23 22 22 24 24 25 24 20 14 12 9 8 10 7 5 8 15 23 33 38 41 41 42 42 28 29 35 35 35 33 30 28 17 13 11 16 13 14 19 16 19 25 41 42 41 42 41 41 40 41 31 30 30 28 22 12 12 13 12 12 14 15 14 15 28 33 40 41 41 42 40 42 42 42 42 33 34 32 24 15 13 12 10 11 12 15 18 24 26 24 31 38 41 41 " PLACE ETIENNE PERNET" 2.2921735414417 48.8424587555045
"21502" 16 16 16 16 16 16 15 15 14 12 15 15 15 13 14 16 16 16 15 14 4 1 2 3 4 4 4 5 5 5 4 4 4 3 5 5 5 5 3 3 3 3 2 3 2 1 1 1 1 1 1 1 1 1 1 2 0 1 2 2 1 0 3 3 2 2 3 1 1 0 0 0 1 1 2 2 2 2 2 3 3 2 5 5 6 6 7 6 6 5 4 1 0 0 0 0 4 5 7 7 7 7 7 7 5 5 11 11 12 9 8 5 5 5 5 4 3 4 5 5 " VERDUN (SURESNES)" 2.22747747677092 48.8710030415404
"31003" 20 21 20 20 20 19 19 21 20 22 25 27 25 28 26 28 23 18 15 6 10 11 15 12 10 8 10 10 10 8 8 9 7 13 23 20 18 16 15 15 15 14 4 1 2 2 1 1 2 4 4 5 5 4 4 5 3 2 8 9 6 7 8 3 5 7 1 1 3 5 0 1 5 6 7 7 7 6 5 6 0 9 18 16 19 15 18 19 20 14 8 3 4 8 9 7 8 9 9 10 10 10 10 10 7 8 15 14 14 10 7 6 3 4 2 0 4 5 7 10 " PARIS (MONTREUIL)" 2.41877242975671 48.8549113323991
"10005" 17 17 17 17 16 16 17 16 16 9 8 12 11 7 6 10 15 17 6 2 3 9 11 10 7 2 1 4 5 5 5 3 2 2 17 16 16 14 13 17 15 14 1 2 12 14 11 13 6 6 5 5 6 6 6 5 3 7 17 15 17 15 16 11 12 13 10 1 4 5 2 9 10 13 11 9 8 8 9 9 4 9 11 17 16 15 15 14 17 11 6 2 7 15 15 17 15 15 16 17 17 17 17 17 12 16 17 15 16 16 10 14 12 16 3 4 11 7 12 15 " CONSERVATOIRE" 2.34838875750478 48.8739721723737
"6016" 5 4 4 5 5 5 6 6 6 11 15 14 21 20 21 20 20 13 16 21 20 20 18 16 20 19 16 16 17 12 12 13 11 14 20 17 21 21 21 18 19 15 21 21 16 16 14 7 2 1 1 1 0 0 0 1 1 10 20 20 20 21 21 21 21 21 17 13 21 20 20 15 0 0 1 1 1 1 2 2 3 6 6 11 13 18 20 21 10 16 12 16 21 21 20 19 13 8 1 0 0 0 1 1 3 6 7 12 9 15 21 20 21 20 15 16 21 21 21 21 " DANTON" 2.34144252246847 48.8523930093114
"19018" 8 6 7 7 7 7 7 7 7 8 9 8 6 2 0 2 0 0 0 0 6 1 1 1 2 1 4 3 4 4 4 3 4 7 6 7 2 0 1 1 4 2 0 2 0 2 0 0 8 13 14 14 14 14 14 13 12 17 19 21 16 13 13 12 11 10 0 3 12 11 7 1 0 0 2 3 3 4 4 4 5 7 7 7 9 9 5 5 7 2 3 5 9 13 9 2 2 2 3 2 2 2 3 2 0 5 5 7 7 3 2 5 4 3 2 6 20 22 23 6 " CITÉ DE LA MUSIQUE" 2.39268612206715 48.8887860708258
